,stock,description,tokenized_description
0,桐昆股份,"['持续', '加码', '长丝', '主业', '产业链', '景气', '反转', '在', '即']","['持续', '加码', '长丝', '主业', '产业链', '景气', '反转', '在', '即']"
1,药明康德,"['半年报', '业绩', '符合', '预期', '增长', '持续', '强劲']","['半年报', '业绩', '符合', '预期', '增长', '持续', '强劲']"
2,常熟银行,"['营收', '增速', '有望', '同业', '领先']","['营收', '增速', '有望', '同业', '领先']"
3,拓邦股份,"['新能源', '业务', '增势', '强劲', '利润', '改善', '逐季', '清晰']","['新能源', '业务', '增势', '强劲', '利润', '改善', '逐季', '清晰']"
4,兴业银行,"['大', '股东', '增持', '彰显', '信心', '战略', '成效', '有望', '持续', '显现']","['大', '股东', '增持', '彰显', '信心', '战略', '成效', '有望', '持续', '显现']"
5,兴业银行,"['大', '股东', '增持', '看好', '长期', '发展']","['大', '股东', '增持', '看好', '长期', '发展']"
6,兴业银行,"['大', '股东', '增持', '彰显', '对', '公司', '发展', '信心']","['大', '股东', '增持', '彰显', '对', '公司', '发展', '信心']"
7,药明康德,"['上半年', '业绩', '增长', '强劲', '海外', '产能', '布局', '深化']","['上半年', '业绩', '增长', '强劲', '海外', '产能', '布局', '深化']"
8,药明康德,"['收入', '强劲', '增长', '先进', '模式', '驱动', '发展']","['收入', '强劲', '增长', '先进', '模式', '驱动', '发展']"
9,百诚医药,"['六', '问六答']","['六', '问六答']"
10,兴业银行,"['大', '股东', '增持', '彰显', '信心', '公司', '安全', '边际', '高']","['大', '股东', '增持', '彰显', '信心', '公司', '安全', '边际', '高']"
11,兴业银行,"['大', '股东', '增持', '计划', '出炉', '彰显', '信心']","['大', '股东', '增持', '计划', '出炉', '彰显', '信心']"
12,长安汽车,"['自主', '品牌', '销量', '大增', '电动车', '板块', '迎来', '质变']","['自主', '品牌', '销量', '大增', '电动车', '板块', '迎来', '质变']"
13,常熟银行,"['转债', '发行', '获批', '业绩', '持续', '高增']","['转债', '发行', '获批', '业绩', '持续', '高增']"
14,长城汽车,"['产销', '双双', '突破', '十万', '利润', '水平', '有望', '改善']","['产销', '双双', '突破', '十万', '利润', '水平', '有望', '改善']"
15,药明康德,"['化学', '业务', '整体', '增长', '强劲', '带动', '22H1', '业绩', '高速', '增长']","['化学', '业务', '整体', '增长', '强劲', '带动', '22H1', '业绩', '高速', '增长']"
16,常熟银行,"['业绩', '保持', '高', '增长', '微贷', '投放', '逐月', '回暖']","['业绩', '保持', '高', '增长', '微贷', '投放', '逐月', '回暖']"
17,长安汽车,"['三次', '创业', '开启', '自主', '强', '周期', '电动', '智能化', '提速', '前进']","['三次', '创业', '开启', '自主', '强', '周期', '电动', '智能化', '提速', '前进']"
18,药明康德,"['上半年', '业绩', '维持', '高', '增速', '长期', '看好', '一体化', '龙头']","['上半年', '业绩', '维持', '高', '增速', '长期', '看好', '一体化', '龙头']"
19,瑞可达深,"['汽车', '连接器', '头部', '企业', '高压', '高速', '驱动', '高', '成长']","['汽车', '连接器', '头部', '企业', '高压', '高速', '驱动', '高', '成长']"
20,水井坊2,"['费用', '支出', '延续', '水井', '保持', '定力']","['费用', '支出', '延续', '水井', '保持', '定力']"
21,宝胜股份,"['线缆', '巨头', '依托', '优势', '资源', '快速', '切入', '海缆', '行业']","['线缆', '巨头', '依托', '优势', '资源', '快速', '切入', '海缆', '行业']"
22,华能国际,"['盈利', '能力', '边际', '改善', '新能源', '装机', '提升', '打开', '增长', '空间']","['盈利', '能力', '边际', '改善', '新能源', '装机', '提升', '打开', '增长', '空间']"
23,拓邦股份,"['二季度', '收入', '及', '利润', '环比', '改善', '明显', '新能源', '板块', '收入', '高增']","['二季度', '收入', '及', '利润', '环比', '改善', '明显', '新能源', '板块', '收入', '高增']"
24,安科瑞,"['投建微', '电网', '产业园', '强化', '中长期', '成长', '动能']","['投建微', '电网', '产业园', '强化', '中长期', '成长', '动能']"
25,华能国际,"['火电', '亏损', '落地', '新能源', '利润', '亮眼']","['火电', '亏损', '落地', '新能源', '利润', '亮眼']"
26,山东赫达,"['纤维素', '醚', '龙头', '持续', '扩产', '植物', '胶囊', '打开', '成长', '空间']","['纤维素', '醚', '龙头', '持续', '扩产', '植物', '胶囊', '打开', '成长', '空间']"
27,新大正2,"['业态', '布局', '完善', '业绩', '稳定增长']","['业态', '布局', '完善', '业绩', '稳定增长']"
